,rank,2-norm error red,sigma_red(r+1),Frobenius norm error red,Root square error-red,2-norm error green,sigma_green(r+1),Frobenius norm error green,Root square error-green,2-norm error blue,sigma_blue(r+1),Frobenius norm error blue,Root square error-blue
0,50,15.362598,15.362598,101.512184,101.51711,14.6123905,14.6123905,90.20633,90.21011,14.2475,14.2475,95.482025,95.48635
1,100,7.420379,7.420379,66.4845,66.487114,6.7944946,6.7944946,54.65874,54.661224,7.0215335,7.0215335,63.11176,63.113876
2,150,4.655424,4.655424,51.803646,51.805946,4.1621523,4.1621523,39.369003,39.370605,4.3907413,4.3907413,49.224697,49.2266
3,200,3.3313537,3.331354,43.68778,43.68929,2.8033657,2.8033657,30.978813,30.979927,3.1444588,3.1444588,41.51634,41.51767
4,250,2.5744588,2.5744588,38.419968,38.421467,2.0705616,2.0705616,25.823402,25.824436,2.4573026,2.4573026,36.530437,36.53164
5,300,2.1231124,2.1231124,34.665943,34.667255,1.6130054,1.6130053,22.357855,22.358559,2.0350926,2.0350926,32.93544,32.936394
6,350,1.8313282,1.8313282,31.749226,31.750216,1.3230299,1.32303,19.80244,19.803167,1.7609652,1.7609655,30.090128,30.091057
7,400,1.6294285,1.6294286,29.301847,29.302794,1.1178546,1.1178546,17.814266,17.814884,1.553491,1.553491,27.716421,27.71727
8,450,1.4767994,1.4767994,27.1731,27.174015,0.96938556,0.9693855,16.219242,16.219734,1.4025065,1.4025065,25.670176,25.671028
9,500,1.3519466,1.3519466,25.266394,25.267315,0.863249,0.8632491,14.873102,14.873595,1.2849783,1.2849782,23.848618,23.84932
10,550,1.2518247,1.2518247,23.528128,23.52887,0.77693635,0.77693635,13.700605,13.701089,1.184997,1.184997,22.197823,22.198404
11,600,1.165992,1.1659921,21.919924,21.920527,0.7053496,0.7053496,12.66091,12.661346,1.0986215,1.0986215,20.678911,20.679554
12,650,1.0858561,1.085856,20.422499,20.42314,0.6483625,0.6483626,11.724159,11.724522,1.0242308,1.0242308,19.267456,19.2681
13,700,1.0151889,1.0151889,19.018301,19.018957,0.5979961,0.59799606,10.864409,10.86473,0.958794,0.95879406,17.944939,17.945562
14,750,0.9551866,0.95518655,17.693195,17.69376,0.55566365,0.5556635,10.069739,10.070055,0.8993661,0.8993662,16.698454,16.698963
